NEW.ID_PROG;YEAR;JULIANDAY;nb_evenement;HS;DS;HEURE_MIN;HEURE_MAX;DUREE;DUREE_CONSIDEREE;VALIDE;SESSION
101a;2003;189;13;;;06:10;12:30;6,33;6,33;TRUE;3
101a;2004;136;24;;;06:30;12:45;6,25;6,25;TRUE;1
101a;2004;171;14;;;06:15;13:15;7;7;TRUE;2
101a;2004;188;15;;;06:15;13:46;7,52;7,52;TRUE;3
101a;2005;141;6;;;06:45;10:10;3,42;3,42;FALSE;1
101a;2005;163;14;;;06:00;12:20;6,33;6,33;TRUE;2
101a;2005;189;8;;;06:20;11:00;4,67;4,67;TRUE;3
101a;2006;145;17;;;07:45;13:30;5,75;5,75;TRUE;1
101a;2006;168;25;;;06:00;13:00;7;7;TRUE;2
101a;2006;188;1;;;08:00;08:00;0;0;FALSE;3
101a;2007;154;18;;;06:00;11:26;5,43;5,43;TRUE;1
101a;2007;167;23;;;06:25;12:40;6,25;6,25;TRUE;2
101a;2007;188;8;;;06:17;12:35;6,3;6,3;TRUE;3
101a;2009;141;13;;;07:06;13:00;5,9;5,9;TRUE;1
101a;2009;164;15;;;06:15;11:10;4,92;4,92;TRUE;2
101a;2009;192;6;;;09:00;13:00;4;4;TRUE;3
101a;2010;142;4;;;07:00;10:30;3,5;3,5;FALSE;0
101a;2010;163;19;;;06:30;11:15;4,75;4,75;TRUE;0
101b;2011;154;62;;;06:37;12:45;6,13;6,13;TRUE;1
101b;2011;169;37;;;06:30;13:15;6,75;6,75;TRUE;2
101b;2011;183;2;;;07:40;08:45;1,08;1,08;FALSE;0
101b;2011;191;70;;;05:30;12:40;7,17;7,17;TRUE;3
101b;2012;138;36;;;06:30;10:45;4,25;4,25;TRUE;1
101b;2012;176;69;;;06:20;12:45;6,42;6,42;TRUE;2
101b;2012;189;52;;;06:30;11:32;5,03;5,03;TRUE;3
101b;2012;190;1;;;06:30;06:30;0;0;FALSE;0
101b;2013;166;7;;;07:10;10:00;2,83;2,83;FALSE;0
101b;2013;188;6;;;06:16;10:26;4,17;4,17;TRUE;0
101b;2014;149;37;;;06:25;13:32;7,12;7,12;TRUE;1
101b;2014;173;77;;;06:00;13:21;7,35;7,35;TRUE;2
101b;2014;187;52;;;06:10;12:30;6,33;6,33;TRUE;3
101b;2015;151;75;;;06:30;12:45;6,25;6,25;TRUE;1
101b;2015;172;90;;;06:23;13:04;6,68;6,68;TRUE;2
101b;2015;186;51;;;06:00;12:20;6,33;6,33;TRUE;3
101b;2016;143;34;;;06:20;12:30;6,17;6,17;TRUE;1
101b;2016;164;53;;;06:10;12:40;6,5;6,5;TRUE;2
101b;2016;185;39;;;06:19;13:00;6,68;6,68;TRUE;3
101b;2017;146;57;;;06:00;12:30;6,5;6,5;TRUE;1
101b;2017;169;86;;;06:10;12:30;6,33;6,33;TRUE;2
101b;2017;190;52;;;06:20;13:15;6,92;6,92;TRUE;3
101b;2018;147;45;;;06:30;13:00;6,5;6,5;TRUE;1
101b;2018;168;41;;;06:40;13:26;6,77;6,77;TRUE;2
101b;2018;189;72;;;06:30;13:16;6,77;6,77;TRUE;3
101b;2019;151;49;;;06:17;11:40;5,38;5,38;TRUE;1
101b;2019;167;32;;;06:20;13:54;7,57;7,57;TRUE;2
101b;2019;187;76;;;06:15;13:00;6,75;6,75;TRUE;3
101b;2019;188;1;;;07:46;07:46;0;0;FALSE;0
102;2002;140;1;;;08:00;08:00;0;0;FALSE;1
102;2002;163;3;;;07:45;11:40;3,92;3,92;FALSE;2
102;2002;186;11;;;06:20;11:50;5,5;5,5;TRUE;3
102;2003;146;8;;;06:50;11:25;4,58;4,58;TRUE;1
102;2003;167;9;;;06:15;11:05;4,83;4,83;TRUE;2
102;2003;188;9;;;06:30;11:30;5;5;TRUE;3
104;2003;137;4;;;08:40;13:31;4,85;4,85;FALSE;0
104;2003;165;11;;;06:55;13:18;6,38;6,38;TRUE;0
104;2004;140;11;;;06:20;11:25;5,08;5,08;TRUE;1
104;2004;165;10;;;06:40;11:15;4,58;4,58;TRUE;2
104;2004;192;8;;;06:24;12:15;5,85;5,85;TRUE;3
104;2005;134;2;;;09:15;12:00;2,75;2,75;FALSE;1
104;2005;163;9;;;06:30;11:30;5;5;TRUE;2
104;2005;190;6;;;07:10;10:50;3,67;3,67;FALSE;3
104;2006;137;3;;;07:30;08:55;1,42;1,42;FALSE;1
104;2006;167;10;;;06:30;12:10;5,67;5,67;TRUE;2
104;2006;193;4;;;06:25;12:00;5,58;5,58;FALSE;3
104;2007;130;3;;;09:15;12:35;3,33;3,33;FALSE;0
104;2007;160;8;;;07:50;12:00;4,17;4,17;TRUE;0
104;2008;138;6;;;06:49;11:00;4,18;4,18;TRUE;1
104;2008;165;10;;;06:00;12:20;6,33;6,33;TRUE;2
104;2008;186;10;;;06:12;11:05;4,88;4,88;TRUE;3
104;2009;127;8;;;07:21;12:10;4,82;4,82;TRUE;1
104;2009;156;10;;;06:40;12:05;5,42;5,42;TRUE;2
104;2009;184;8;;;06:45;12:10;5,42;5,42;TRUE;3
104;2010;174;4;;;09:45;12:15;2,5;2,5;FALSE;0
104;2010;188;8;;;06:45;12:20;5,58;5,58;TRUE;0
104;2011;138;10;;;06:35;12:45;6,17;6,17;TRUE;0
104;2011;159;14;;;06:45;12:00;5,25;5,25;TRUE;0
104;2012;132;7;;;07:00;11:55;4,92;4,92;TRUE;1
104;2012;159;16;;;06:30;11:30;5;5;TRUE;2
104;2012;188;6;;;06:30;11:00;4,5;4,5;TRUE;3
105;2004;136;25;;;06:20;12:50;6,5;6,5;TRUE;1
105;2004;150;49;;;06:00;12:30;6,5;6,5;TRUE;0
105;2004;178;26;;;05:45;12:50;7,08;7,08;TRUE;2
105;2004;193;27;;;06:25;12:00;5,58;5,58;TRUE;3
105;2005;134;31;;;06:15;12:55;6,67;6,67;TRUE;1
105;2005;148;38;;;06:00;12:45;6,75;6,75;TRUE;0
105;2005;163;31;;;06:00;13:15;7,25;7,25;TRUE;2
105;2005;191;22;;;06:05;13:05;7;7;TRUE;3
105;2006;134;26;;;06:50;12:55;6,08;6,08;TRUE;1
105;2006;147;23;;;06:30;13:00;6,5;6,5;TRUE;0
105;2006;168;21;;;06:30;10:30;4;4;TRUE;2
105;2006;190;18;;;06:25;12:30;6,08;6,08;TRUE;3
105;2007;132;25;;;06:30;13:05;6,58;6,58;TRUE;1
105;2007;157;30;;;06:30;12:45;6,25;6,25;TRUE;0
105;2007;174;36;;;06:30;12:50;6,33;6,33;TRUE;2
105;2007;189;35;;;07:00;11:50;4,83;4,83;TRUE;3
105;2008;139;16;;;07:20;09:15;1,92;1,92;FALSE;1
105;2008;152;22;;;06:30;12:20;5,83;5,83;TRUE;0
105;2008;166;34;;;06:40;13:15;6,58;6,58;TRUE;2
105;2008;180;16;;;06:30;11:00;4,5;4,5;TRUE;3
105;2009;130;25;;;06:45;13:15;6,5;6,5;TRUE;1
105;2009;152;24;;;06:45;12:00;5,25;5,25;TRUE;0
105;2009;164;11;;;06:30;12:15;5,75;5,75;TRUE;2
105;2009;186;14;;;07:20;11:00;3,67;3,67;FALSE;3
105;2010;129;25;;;07:00;12:00;5;5;TRUE;1
105;2010;149;25;;;06:30;11:55;5,42;5,42;TRUE;0
105;2010;163;30;;;06:20;12:30;6,17;6,17;TRUE;2
105;2010;177;28;;;06:40;12:00;5,33;5,33;TRUE;3
105;2011;135;19;;;06:30;12:00;5,5;5,5;TRUE;1
105;2011;148;17;;;06:15;12:30;6,25;6,25;TRUE;0
105;2011;162;27;;;06:25;12:45;6,33;6,33;TRUE;2
105;2011;176;13;;;07:00;12:00;5;5;TRUE;3
105;2012;134;25;;;06:45;12:30;5,75;5,75;TRUE;1
105;2012;147;26;;;06:30;12:40;6,17;6,17;TRUE;0
105;2012;161;32;;;06:30;12:00;5,5;5,5;TRUE;2
105;2012;175;24;;;06:30;12:00;5,5;5,5;TRUE;3
106;2003;149;3;;;06:15;09:05;2,83;2,83;FALSE;1
106;2003;158;8;;;05:15;07:40;2,42;2,42;FALSE;0
