"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"PHOOCH";0;0;0;0;0,800000000000001;1,42499999999999;1;53;0,043010752688172;"Terrestre";"Court";68;0,26984126984127
"Terrestre";"PHOPHO";0;0;0;0;1;2,35;3;53;0,0769230769230769;"Terrestre";"Long";61;0,242063492063492
"Terrestre";"PHYBON";0;0;0;1;2,65;5,2375;3;68,5;0,0518817204301075;"Terrestre";"Long";29;0,115079365079365
"Terrestre";"PHYCOL";0;2;4;8;12,7;19,55;33;53;0,827956989247312;"Terrestre";"Court";235;0,932539682539683
"Terrestre";"PHYLUS";0;0;0;3;6,2;11,65;12;53;0,320987654320988;"Terrestre";"Long";125;0,496031746031746
"Terrestre";"PHYSIB";0;0;0;0;0;0;0;53;0;"Terrestre";"Long";17;0,0674603174603175
"Terrestre";"PICDIS";0;0;0;0,5;1;1,35;6;53;0,123456790123457;"Terrestre";"Court";100;0,396825396825397
"Terrestre";"PICPIC";0;0;0;0;0,6;0,925;1;53;0,0186915887850467;"Terrestre";"Court";23;0,0912698412698413
"Terrestre";"PRUMOD";0;1;3;6;9,2;12,425;32;53;0,679245283018868;"Terrestre";"Court";205;0,813492063492063
"Terrestre";"PYRULA";0;0;2;3;5,4;7,625;15;53;0,3375;"Terrestre";"Court";123;0,488095238095238
"Terrestre";"REGIGN";0;0;0;0;0,7;0,925;1;53;0,0256410256410256;"Terrestre";"Court";41;0,162698412698413
"Terrestre";"REGREG";0;0;0;0;0;0,65;1;53;0,0125;"Terrestre";"Court";47;0,186507936507937
"Terrestre";"REMPEN";0;0;0;0;0;0;0;46;0;"Aquatique";"Long";2;0,00793650793650794
"Terrestre";"RIPRIP";0,0249999999999999;0,25;0,5;1;1;1;1;81;0,0106382978723404;"Terrestre";"Long";3;0,0119047619047619
"Terrestre";"SAXRUB";0;0;0;0;0;0;0;58;0;"Terrestre";"Long";12;0,0476190476190476
"Terrestre";"SAXTOR";0;0;0;0,75;1,5;3,15;5;53;0,0752688172043011;"Terrestre";"Court";55;0,218253968253968
"Terrestre";"SERLLA";4;4;4;4;4;4;1;93;0,0106382978723404;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"SERSER";0;0;0;0,25;1;1,8;2;55,5;0,0450902820044634;"Terrestre";"Court";38;0,150793650793651
"Terrestre";"SITEUR";0;0;0;0;1;1,825;4;53;0,118279569892473;"Terrestre";"Court";108;0,428571428571429
"Terrestre";"STRALU";0;0;0;0;0;0;0;60;0;"Terrestre";"Court";9;0,0357142857142857
"Terrestre";"STRCTO";0;0;0;0;0;0;0;46;0;"Terrestre";"Court";4;0,0158730158730159
"Terrestre";"STRTUR";0;0;0;0;0,9;1;2;53;0,038961038961039;"Terrestre";"Long";39;0,154761904761905
"Terrestre";"STUVUL";0;0;0;0;1;2;3;53;0,0862068965517241;"Terrestre";"Court";73;0,28968253968254
"Terrestre";"SYLALA";0;0;0;0,75;1;1;1;68,5;0,0125;"Terrestre";"Court";14;0,0555555555555556
"Terrestre";"SYLATR";0,95;6;11;21;30,1;44,75;50;53;0,950617283950617;"Terrestre";"Court";244;0,968253968253968
"Terrestre";"SYLBOR";0;0;2;5,75;8,8;13,8;30;53;0,597402597402597;"Terrestre";"Long";185;0,734126984126984
"Terrestre";"SYLCAN";0;0;0;0,75;1,8;2,7;2;58;0,0246913580246914;"Terrestre";"Long";20;0,0793650793650794
