"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2009;"JUV";"Long";0;0;0,04;0,067816091954023;0,0811781609195402;"Terrestre"
2010;"JUV";"Long";0;0;0;0,0138888888888889;0,0891666666666666;"Terrestre"
2011;"JUV";"Long";0;0;0;0;0;"Terrestre"
2012;"JUV";"Long";0;0;0;0,025;0,128928571428571;"Terrestre"
2013;"JUV";"Long";0,00197368421052631;0,0197368421052632;0,0425696594427245;0,0649509803921569;0,0814950980392157;"Terrestre"
2014;"JUV";"Long";0;0;0;0,0526315789473684;0,136666666666667;"Terrestre"
2015;"JUV";"Long";0;0;0,0273972602739726;0,0526315789473684;0,137362637362637;"Terrestre"
2016;"JUV";"Long";0;0;0;0;0;"Terrestre"
2017;"JUV";"Long";0;0;0;0,024390243902439;0,167076167076167;"Terrestre"
2018;"JUV";"Long";0;0;0;0,0174418604651163;0,0711378737541528;"Terrestre"
2000;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2003;"AD";"Court";0,25;0,25;0,25;0,25;0,25;"STOC-rozo"
2004;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2005;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2006;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2007;"AD";"Court";0,00576923076923077;0,0576923076923077;0,0801282051282051;0,125;0,2375;"STOC-rozo"
2008;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2009;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2010;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2011;"AD";"Court";0;0;0;0,0714285714285714;0,135714285714286;"STOC-rozo"
2014;"AD";"Court";0,0833333333333333;0,0833333333333333;0,0833333333333333;0,0833333333333333;0,0833333333333333;"STOC-rozo"
2015;"AD";"Court";0;0;0;0,05;0,095;"STOC-rozo"
2016;"AD";"Court";0,0034090909090909;0,0340909090909091;0,0681818181818182;0,102272727272727;0,132954545454545;"STOC-rozo"
2017;"AD";"Court";0,00238095238095238;0,0238095238095238;0,0476190476190476;0,0515873015873016;0,0551587301587302;"STOC-rozo"
2018;"AD";"Court";0;0;0;0;0;"STOC-rozo"
1989;"JUV";"Court";0,03375;0,0375;0,0416666666666667;0,0458333333333333;0,0495833333333333;"STOC-rozo"
1990;"JUV";"Court";0;0,00510204081632653;0,0210736468500444;0,0304347826086957;0,0422101449275362;"STOC-rozo"
1991;"JUV";"Court";0,00151515151515152;0,0151515151515152;0,0303030303030303;0,0818181818181818;0,128181818181818;"STOC-rozo"
1992;"JUV";"Court";0;0;0;0,0588235294117647;0,205882352941177;"STOC-rozo"
1993;"JUV";"Court";0;0,00641025641025641;0,0384615384615385;0,0628205128205128;0,0739583333333333;"STOC-rozo"
1994;"JUV";"Court";0,0658357771260997;0,0777126099706745;0,0909090909090909;0,136363636363636;0,177272727272727;"STOC-rozo"
