"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2012;"Terrestre";1,7;2,6865671641791;3,5;6;16,1333333333333;"LUSMEG"
2013;"Terrestre";1,51666666666667;2,5;3,83310719131615;6;7,59503631961259;"LUSMEG"
2014;"Terrestre";1,44375;2,5;3,2;5;10,0625;"LUSMEG"
2015;"Terrestre";1,4859375;2,14285714285714;3,21428571428571;5,71875;10,234375;"LUSMEG"
2016;"Terrestre";1,42739361702128;2,725;4,01470588235294;6;11,8879654255319;"LUSMEG"
2017;"Terrestre";1,4175;2,5;3,20512820512821;4,39772727272727;18,025;"LUSMEG"
2018;"Terrestre";1,5;3;4,31114551083591;6,29464285714286;12,3375;"LUSMEG"
2019;"Terrestre";1,28571428571429;3;3,91304347826087;6,66666666666667;12,8;"LUSMEG"
1997;"Terrestre";7,5;7,5;7,5;7,5;7,5;"LUSSVE"
2000;"Terrestre";1,03354838709677;1,6258064516129;2,28387096774194;2,94193548387097;3,5341935483871;"LUSSVE"
2001;"Terrestre";1,1143899204244;1,83355437665783;2,63262599469496;3,4316976127321;4,15086206896552;"LUSSVE"
2002;"Terrestre";2,77777777777778;2,77777777777778;2,77777777777778;2,77777777777778;2,77777777777778;"LUSSVE"
2003;"Terrestre";1,17592592592593;1,75925925925926;2,40740740740741;3,05555555555556;3,63888888888889;"LUSSVE"
2004;"Terrestre";2,63157894736842;2,63157894736842;2,63157894736842;2,63157894736842;2,63157894736842;"LUSSVE"
2005;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"LUSSVE"
2006;"Terrestre";0,803571428571428;1,11263736263736;1,45604395604396;1,79945054945055;2,10851648351648;"LUSSVE"
2007;"Terrestre";2;2;2;2;2;"LUSSVE"
2008;"Terrestre";1,28632478632479;2,86324786324786;4,61538461538461;9,80769230769231;14,4807692307692;"LUSSVE"
2009;"Terrestre";1,18076923076923;2,80769230769231;4,61538461538461;5,03496503496504;5,41258741258741;"LUSSVE"
2010;"Terrestre";3,06388888888889;3,63888888888889;4,27777777777778;4,91666666666667;5,49166666666667;"LUSSVE"
