"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2004;"Terrestre";0,684042553191489;1,62280701754386;2,5;4,64285714285714;7,775;"EMBCIT"
2005;"Terrestre";0,953525641025641;1,27826086956522;2,77777777777778;4,25;6;"EMBCIT"
2006;"Terrestre";1,065;1,55852994555354;2,91149068322981;3,97222222222222;13,125;"EMBCIT"
2007;"Terrestre";1,69927536231884;2,38421052631579;3;5,88461538461538;9,55;"EMBCIT"
2008;"Terrestre";1,1;2;3,33333333333333;4,61538461538461;9,75;"EMBCIT"
2009;"Terrestre";0,881756756756757;1,64473684210526;2,83333333333333;5,19230769230769;9;"EMBCIT"
2010;"Terrestre";1,40045766590389;2,07142857142857;2,5;3,2183908045977;6;"EMBCIT"
2011;"Terrestre";1,44791666666667;2,18390804597701;3;3,9035964035964;7,225;"EMBCIT"
2012;"Terrestre";1,27321428571429;2,07142857142857;3;4,58333333333333;7,65277777777778;"EMBCIT"
2013;"Terrestre";1,52763157894737;2;2,5;3,875;11;"EMBCIT"
2014;"Terrestre";1,46370967741935;2,01715137956749;3;3,66666666666667;7,75;"EMBCIT"
2015;"Terrestre";1,69419642857143;2,00625;3;4,15178571428571;8,37499999999999;"EMBCIT"
1989;"Terrestre";1,645;2,05;2,5;2,95;3,355;"ERIRUB"
1990;"Terrestre";0,620588235294118;0,857142857142857;1,25;4,4;4,98039215686275;"ERIRUB"
1991;"Terrestre";0,794331395348837;2,13682432432432;2,8125;3,95441176470588;5,67058823529412;"ERIRUB"
1992;"Terrestre";0,643382352941177;1,20941558441558;1,97641509433962;3,253125;4,25375;"ERIRUB"
1993;"Terrestre";0,838690476190476;1,33333333333333;2,49072602013778;4,5546875;15,075;"ERIRUB"
1994;"Terrestre";1,08076923076923;1,80371352785146;2,75;5,12127659574468;7,305;"ERIRUB"
1995;"Terrestre";1,03571428571429;2,66666666666667;3,10344827586207;5,29411764705882;11,6818181818182;"ERIRUB"
1996;"Terrestre";1,03526785714286;2,45404411764706;3,22916666666667;4,61538461538461;5,94102564102564;"ERIRUB"
1997;"Terrestre";0,942792338709677;1,36693548387097;2,73809523809524;3,77232142857143;5,220625;"ERIRUB"
1998;"Terrestre";1,13333333333333;1,92307692307692;2,72727272727273;3,75;12,962962962963;"ERIRUB"
1999;"Terrestre";1,10714285714286;1,78306878306878;2,12765957446809;6,40625;20,25;"ERIRUB"
2000;"Terrestre";0,430769230769231;1,5;1,8;3,4375;16,8333333333333;"ERIRUB"
2001;"Terrestre";1,14545454545455;2;3,75;6,25;9;"ERIRUB"
2002;"Terrestre";0,956818181818182;2,23214285714286;3,24561403508772;5,75;10,2375;"ERIRUB"
2003;"Terrestre";1,00580495356037;2;3,58974358974359;5,25;8,1875;"ERIRUB"
2004;"Terrestre";1,25265957446809;2,4;3,6;5,71428571428571;11,3846153846154;"ERIRUB"
2005;"Terrestre";1,11217948717949;2,18406593406593;4,0625;5,4144385026738;9,31666666666667;"ERIRUB"
2006;"Terrestre";1,5;2,5;3,46153846153846;5;7,5;"ERIRUB"
2007;"Terrestre";1,45;2,5;4;6;11,4;"ERIRUB"
2008;"Terrestre";1,5668016194332;2,66666666666667;4;6;13,3660714285714;"ERIRUB"
2009;"Terrestre";1,51538461538462;2,5;4;6;10,6;"ERIRUB"
2010;"Terrestre";1,275;3;4,04761904761905;6;9,703125;"ERIRUB"
2011;"Terrestre";1,11048557353976;3;5;6,81818181818182;13,5692307692308;"ERIRUB"
2012;"Terrestre";1,11607142857143;2,9375;3,86752136752137;5;8,1177536231884;"ERIRUB"
2013;"Terrestre";1,12325783972125;2,5;4,5;6,54761904761905;11,8;"ERIRUB"
2014;"Terrestre";1,38951612903226;2,5;3,75;6;8,33653846153846;"ERIRUB"
2015;"Terrestre";1,65;3;5;6,66666666666667;19,8333333333333;"ERIRUB"
2016;"Terrestre";2,08125;3,33333333333333;4,6875;6,68300653594771;8,86785714285714;"ERIRUB"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"FRICOE"
1990;"Terrestre";0,620588235294118;1,2;1,21212121212121;2,1875;3,99107142857143;"FRICOE"
1991;"Terrestre";0,822845417236662;1,36363636363636;1,5;1,8;2,10472972972973;"FRICOE"
1992;"Terrestre";0,55;0,909090909090909;1,13207547169811;1,25;2,45098039215686;"FRICOE"
1993;"Terrestre";0,984375;1,29166666666667;1,38888888888889;1,69594594594595;5,38378378378378;"FRICOE"
1994;"Terrestre";0,707630227439472;1,38362068965517;1,78235294117647;2,17548076923077;3,83846153846154;"FRICOE"
1995;"Terrestre";0,702317290552585;1,03448275862069;2,75;3,75;9,75;"FRICOE"
1996;"Terrestre";0,873214285714286;1;2,25;2,57142857142857;3,31372549019608;"FRICOE"
1997;"Terrestre";0,798214285714286;1,13571428571429;1,25;1,41741071428571;1,85944700460829;"FRICOE"
1998;"Terrestre";0,553030303030303;1,18055555555556;1,33333333333333;2,52130681818182;5,32670454545454;"FRICOE"
1999;"Terrestre";0,709219858156028;1,49305555555556;2,5;3,80357142857143;6,95357142857143;"FRICOE"
2000;"Terrestre";1,01117021276596;1,13134206219313;1,28676470588235;3,18888888888889;7,15972222222222;"FRICOE"
2001;"Terrestre";1,18028846153846;1,88461538461538;2,75;3,75;5,76071428571428;"FRICOE"
2002;"Terrestre";1,02;1,89473684210526;2,53571428571429;3,05357142857143;8,28124999999999;"FRICOE"
2003;"Terrestre";0,872899159663866;1,34206219312602;2,5;4,90384615384615;7,5;"FRICOE"
2004;"Terrestre";1,12438625204583;1,77978883861237;3;4;6,225;"FRICOE"
2005;"Terrestre";1,13076923076923;2,27142857142857;3,15789473684211;5;7,875;"FRICOE"
2006;"Terrestre";0,967857142857143;1,82291666666667;3,07894736842105;5,625;8,50961538461538;"FRICOE"
2007;"Terrestre";1,06071428571429;2;2,5;3,83152173913043;6,09473684210526;"FRICOE"
2008;"Terrestre";1,2525;2,1243842364532;2,68716577540107;5;8,73749999999999;"FRICOE"
2009;"Terrestre";1,2025;2,20867208672087;3;5;7,45833333333333;"FRICOE"
2010;"Terrestre";0,901260504201681;2;3;5;11,5875;"FRICOE"
2011;"Terrestre";1,44347368421053;2,08743842364532;2,95161290322581;4,90384615384615;8,975;"FRICOE"
2012;"Terrestre";1,09210526315789;2,48724489795918;3,34498834498834;5,25;11,775;"FRICOE"
2013;"Terrestre";1,05892857142857;1,875;3,08940397350993;4,75746268656716;9,52499999999999;"FRICOE"
2014;"Terrestre";1,14454094292804;2,27142857142857;3;4,04545454545454;6,75520833333333;"FRICOE"
2015;"Terrestre";1,4875;2,5;2,92857142857143;3,33333333333333;10,046875;"FRICOE"
2016;"Terrestre";1,67763157894737;2,78571428571429;3,33333333333333;3,81893382352941;10,2488839285714;"FRICOE"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"GARGLA"
1990;"Terrestre";0,890625;1,14375;1,5;1,81363636363636;2,68821022727273;"GARGLA"
