"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"AEGCAU";1999;"AD";"Court";8,16568181818183;8,38989028213167;8,60989583333334;8,71428571428571;8,90021551724138;"Terrestre"
"ERIRUB";1999;"AD";"Court";14,9296489104116;15,8372881355932;16;16,4507042253521;18,3639322421012;"Terrestre"
"FRICOE";1999;"AD";"Court";20,1815060240963;20,7228915662651;21,4999999999999;22,3415404040404;24,6993763858093;"Terrestre"
"PARCAE";1999;"AD";"Court";10,0483870967742;10,4838709677419;10,5147058823529;12;12;"Terrestre"
"PARMAJ";1999;"AD";"Court";17,7979166666667;18,6041666666667;19,5;19,75;19,975;"Terrestre"
"PHYCOL";1999;"AD";"Court";6,26548672566372;6,88333333333335;7,64485245901636;7,90000000000002;8,87922169811322;"Terrestre"
"PRUMOD";1999;"AD";"Court";17;17,0067567567567;17,5;17,9932432432432;19,8758992805755;"Terrestre"
"PYRULA";1999;"AD";"Court";19,6954079173838;21,2914285714285;22,275;22,5;25,3646341463414;"Terrestre"
"SYLATR";1999;"AD";"Court";15,394909090909;16,6599999999999;17,6198630136986;18,744966442953;21,4126689189189;"Terrestre"
"TROTRO";1999;"AD";"Court";9,39340425531914;9,48723404255318;9,59148936170211;9,69574468085104;9,78957446808507;"Terrestre"
"TURMER";1999;"AD";"Court";79,39871002907;84,6679687500001;87,6562500000001;92,4618320610684;104,308641975309;"Terrestre"
"TURPHI";1999;"AD";"Court";61,6168477146954;62,8575527772085;70,4530571333111;78,3972602739726;80,5794520547945;"Terrestre"
"AEGCAU";2000;"AD";"Court";7,52324380165289;8,1;8,36290322580646;9,34519286966687;10;"Terrestre"
"CETCET";2000;"AD";"Court";11,6298548094374;12,8421052631579;14;14,758064516129;15,6669738863287;"Terrestre"
"ERIRUB";2000;"AD";"Court";14,63;16,2222222222222;16,8057553956835;17,7946680080483;21,437323943662;"Terrestre"
"FRICOE";2000;"AD";"Court";21,3683843471523;21,9894308943089;22,343031968032;22,6826765188835;26,3688091822095;"Terrestre"
"PAPALU";2000;"AD";"Court";9,66189516129032;9,73991935483871;9,82661290322581;9,9133064516129;9,99133064516129;"Terrestre"
"PARCAE";2000;"AD";"Court";10,0704793840039;10,8333333333333;10,9963235294117;11,298828125;12,2390873015873;"Terrestre"
"PARMAJ";2000;"AD";"Court";15,925;17;17,3913043478261;18,256237006237;20,2601867572157;"Terrestre"
"PASDOM";2000;"AD";"Court";28,5;28,5;28,5;28,5;28,5;"Terrestre"
"PHYCOL";2000;"AD";"Court";6,55555555555556;7,12068965517241;7,73770491803276;8,28070175438597;9,83333333333333;"Terrestre"
"PRUMOD";2000;"AD";"Court";17,6405797101449;18,6687352245862;19,2753623188406;19,9253731343284;21,449604743083;"Terrestre"
"PYRULA";2000;"AD";"Court";19,0852134146341;19,6875;21,1071428571428;22,4030873493976;24,8724683544304;"Terrestre"
"SYLATR";2000;"AD";"Court";15,2047322540473;16,4407894736842;17,3541666666667;18,375;21;"Terrestre"
"TROTRO";2000;"AD";"Court";8,5625;9,45864790665751;10;10,8975365619755;12,0620967741935;"Terrestre"
"TURMER";2000;"AD";"Court";75,4443644662922;83,6754440154443;87,6991088180115;91,6708096590909;99,4830985482284;"Terrestre"
"TURPHI";2000;"AD";"Court";60,2695652173913;64,0161943319835;66,695652173913;71,8260869565217;80,7435344827586;"Terrestre"
"AEGCAU";2001;"AD";"Court";7,17999293785311;7,87096774193549;8;8,20958333333333;8,60178571428571;"Terrestre"
"CETCET";2001;"AD";"Court";14,5811403508772;15,2368421052632;16,0387596899225;16,1947830707677;16,7073588709677;"Terrestre"
"ERIRUB";2001;"AD";"Court";14,7972972972972;16,2222222222222;17;17,9929577464789;22,6637394957983;"Terrestre"
"FRICOE";2001;"AD";"Court";19,3311727335165;20,3696928071928;21,2464974337634;22,0182926829268;23,7395833333333;"Terrestre"
"PAPALU";2001;"AD";"Court";9,78024193548387;10,1612903225806;10,1612903225806;10,5338709677419;11,5174317617866;"Terrestre"
"PARCAE";2001;"AD";"Court";10,1154819542254;10,8333333333333;11,2605406746032;11,6417910447761;15,2987989738806;"Terrestre"
"PARMAJ";2001;"AD";"Court";15,4265987177379;16,5584415584415;17,3076923076923;18,4931506849315;20,7246376811594;"Terrestre"
